,REF_INTERNAL,REF_TENDER,LOT_NUMBER,SUBLOT_NUMBER,PRODUCT,LOT_DESCRIPTION,LOT_DESCRIPTION_ORIGINAL,PRODUCT_REF_REQUESTED/SUPPLIER,TOTAL_QTY,YEARLY_QTY,UOM,TENDER_LOT_PRICE,TENDER_UNIT_PRICE,TENDER_CURRENCY,LOT_PRICE,WINNING_UNIT_PRICE,WINNING_PRICE_USD,WINNER,DQ_REASON
15,0004,382454,2,,set-universal,Set of duvets made of at least three layers: upper layer of well-absorbing non-woven fabric  polyethylene  solid  impervious to liquid  lower - non-woven protective material. Covered surfaces are slippery  well positioned needles  threads and other fine med. measures. Coatings may have an additional absorbent layer  special openings for pipe attachment. Set includes: laparoscopic cover 250/175 / 270x260 ÷ 330cm ± 10cm (for all cover sizes) with opening 23 ÷ 26x28 ÷ 32cm with adhesive edges; covering at least two layers of instrumental table 140 ÷ 170x150 ÷ ​​200cm  absorbent layer not less than 60x150cm; 1 bag for Mayo table  at least two layers 77 ÷ 80x145 ÷ 150cm  absorbent layer at least 60x80cm. Can be: napkins  sticky tape 9 ÷ 10x48 ÷ 50cm. The kit is packed in one factory sterile package. The package is easily opened by hand - with a free glued edge. Packaging must contain at least 2 adhesive stickers with sterility and production control data for registration. The product has three levels of packaging. Tolerance ± 5%,,,20.0,20,,,,EUR,442.26,22.11,25.16,Molnlycke,
16,0004,382454,6,1.0,set-universal,Material disposable  sterile. Coated with three layers of material: the upper is made of non-woven material - well absorbed by liquids  middle - made of polyethylene  impervious to liquids  bottom - protective layer of non-woven material. Contains no latex. The surface is not slippery  well positioned needles  threads and other fine med. measures. Composition: cover with adhesive edge with liquid absorbent part 90x75cm - 2 pcs .; cover 180x180cm with adhesive edge with liquid absorbent part - 1pc; cover with adhesive edge with liquid absorbing part 150x240cm - 1pc; cover for instrument table 150x190cm - 1 pc; bag for Mayo table reinforced protection 77 ÷ 80x145 ÷ 150cm - 1 pcs .; sticky tape 9x50cm –1 pcs; at least 4 napkins. The sterile packaging is easy to unlock - with a free glued edge. The product has three levels of packaging. The kit is packaged in one sterile sterile package with a sterility control system  i. sticker with packaging sterility and production data. Tolerance ± 5%,,,20.0,20,,,,EUR,1266.30,,0.0,OneMed,
17,0004,382454,5,,set-ophthalmic drape,Sterile. Material for single use. Less two-layer fabrics produced: Upper non-woven material - good absorbing liquids  lower - made of polyethylene  impervious to liquids  this layer may contain a protective layer of non-woven material. Contains no latex. The surface is not slippery  well positioned needles  threads and other fine med. measures. Composition: 140x150cm with integrated 8x10cm incision film and integrated liquid collection bag (bag has a strap for breaking the bag) - 1 piece  covered with instrument table 140x150cm with absorbent layer - 1 pc  napkin - 1 pc. Tolerance ± 10%,,,280.0,280,,,,EUR,882.00,3.15,3.58,OneMed,
18,0004,382454,10,,set-gynecology,Sterile. The material is disposable  made by the zonal system - the closest to the wound area is made of three layers: the upper layer of absorbent non-woven material  the middle polyethylene  non-liquid  lower - protective  nonwoven. The surface is not slippery  well positioned needles  threads and other fine med. measures. Composition: Mayo table 77 ÷ 80x145 ÷ 150cm  absorbent layer no less than 60x80cm  glue tube holder no shorter 18cm  gynecological cover 60x110 ÷ 120cm with hole 8 ÷ 9x11 ÷ 12cm  cover 200 ÷ 270/200 ÷ 270x215 ÷ 260cm with elastic hole 20 ÷ 25x20 ÷ 25cm  covered with instrument table 140 ÷ 150x180 ÷ 190cm  absorbent layer at least 70x180cm. The sterile packaging is easy to unlock - with a free glued edge. The product has three levels of packaging. The kit is packed in one sterile sterile package with a sterility control system  i.e. a sticker with packaging sterility and manufacturing data. Tolerance ± 5%,,,20.0,20,,,,EUR,178.50,8.93,10.15,OneMed,
19,0004,382454,8,,set-cesarian surgery,Material disposable  sterile. Made of durable micro-resistant material. Consists of two layers: the upper layer is impervious to liquids  the lower layer is a non-woven protective material. Well-positioned needles  threads and other fine meds are well visible. measures. Composition: baby bed 90x120cm or 75x120cm  sectional cover 250x300cm or 230x330cm with incisive film size 38x32cm or 36x36cm (the cover has a liquid bag with integrated tube holders  foam bag integrated into the bag edge for bag support)  cover 150x190cm  instrument cover less than 4 napkins  can be sticky tape 9x49cm. The sterile packaging is easily opened by hand - with a free glued edge. The product has three levels of packaging. The kit is packaged in one sterile sterile package with a sterility control system  i. sticker with packaging sterility and production data. Permissible dimensional tolerance ± 5%,,,150.0,150,,,,EUR,1228.50,81.5,92.73,OneMed,
20,0004,382454,9,,set-birth,Sterile. Ingredients: under the womb: top layer - non-woven fabric  bottom layer - impermeable to liquids 75 ÷ 90x120 ÷ 150cm 1pcs; bedding: top layer - non-woven material  middle layer absorbent  bottom layer - impermeable to liquids 55 ÷ 60x85 ÷ 100cm 1pcs .; bedding: top layer - non-woven material  middle layer absorbent  bottom layer - impermeable to liquids 55 ÷ 75x55 ÷ 75cm 1pcs .; white cloth baby bed: 55 ÷ 60x60 ÷ 90cm 1pc; reinforced napkins white at least 4pcs; cover 75 ÷ 150x120 ÷ 150cm  absorbent layer 60 ÷ 75x100 ÷ 150cm. The kit is easily expanded by hand  packed in one sterile sterile package with a sterility control system  i.e. a sticker with packaging sterility and manufacturing data. The product has three levels of packaging. Tolerance ± 5%,,,400.0,400,,,,EUR,966.00,2.42,2.75,OneMed,
21,0004,382454,11,,drape-under buttocks,Material disposable  sterile  size 75 ÷ 80x90 ÷ 100cm  should have pocket (s) 15 ÷ 20cm depth  nurse's hand up. Made of two layers of material  the upper layer is a good absorbing nonwoven material  lower polyethylene  impervious to liquids. The sterile package is easily opened by hand without the help of the instrument. The product has three levels of packaging. The kit is packed in one factory sterile package. Tolerance ± 10%,,,200.0,200,,,,EUR,134.40,0.67,0.76,OneMed,
22,0004,382454,7,,drape-surgical-shoulder joint,Sterile. Covered 400 ± 15x250 ± 15cm. Elastic hole 10-15x9-15cm in the center of the blanket. Cover with integrated liquid wrapper. The kit is packaged in one sterile sterile package with a sterility control system  i.e. sticker with packaging sterility and manufacturing data. The product has three levels of packaging.,,,30.0,30,,,,EUR,440.37,14.68,16.7,UAB UCB1,
23,0004,382454,16,,drape-surgical-incision  ,Steril. Material for single use. During the operations did not get away from the skin surface-sticky. 4-10 hours  hypoallergenic. Adhesive adherence to skin power 2.2-2.8N. Thin  translucent has two non-stick edges. When the film is removed from the body  no adhesive remains. The product has three levels of packaging. Individually packed. The sterile package is easily opened by hand without the help of the instrument. Tolerance ± 5%,,,300.0,300,,,,EUR,422.10,1.41,1.6,UAB UCB1,
24,0004,382454,17,,drape-surgical-incision  ,Film for operating field 15x26cm (adhesive surface 15x20) cm Sterile. Material for single use. During the operations did not get away from the skin surface-sticky. 4-10 hours  hypoallergenic. Adhesive adherence to skin power 2.2-2.8N. Thin  translucent has two non-stick edges. When the film is removed from the body  no adhesive remains. The product has three levels of packaging. Individually packed. The sterile package is easily opened by hand without the help of the instrument. Tolerance ± 5%,,,300.0,300,,,,EUR,91.35,0.3,0.35,UAB UCB2,
25,0004,382454,12,1.0,drape-surgical-adhesive,Material disposable  sterile. Made of at least two layers of material: the upper is made of non-woven material - it absorbs fluids well  the bottom is made of polyethylene  impervious to liquids. Covered with 75x90 ÷ 100cm adhesive edge. The sterile packaging is easily opened by hand - with a free glued edge. The product has three levels of packaging. Tolerance ± 10%,,,650.0,650,,,,EUR,1260.00,,0.0,OneMed,
26,0004,382454,12,2.0,drape-surgical-adhesive,Material disposable  sterile  made from a zonal system of two layers: the upper layer absorbs liquids well and is made of non-woven material  bottom polyethylene  impervious to liquids. Cover 50x50 ÷ 70cm with adhesive edge. The surface is not slippery  well positioned needles  threads and other fine med. measures. The sterile packaging is easily opened by hand - with a free glued edge. The product has three levels of packaging. Tolerance ± 10%,,,1500.0,1500,,,,EUR,1260.00,,0.0,OneMed,
27,0004,382454,1,1.0,drape-surgical,Set of duvets made of at least three layers: upper layer of well-absorbing non-woven fabric  polyethylene  solid  impervious to liquid  lower - non-woven protective material. Covered surfaces are slippery  well positioned needles  threads and other fine med. measures. Coatings may have an additional absorbent layer  special openings for pipe attachment. The set consists of: U-shaped cover 200 ÷ 250x250 ÷ 300cm with cracked adhesive edges 18 ÷ 22x95 ÷ 105cm  increased protection part not less than 70x120cm; 1 blanket with a sticky cost of 175 ÷ 185x175 ÷ 185cm; 1 cover with adhesive edge 140 ÷ 180x230 ÷ 260cm; 2 blankets with adhesive edge 70 ÷ 80x90 ÷ 100cm; 1 blanket for instrument table  at least two layers 140 ÷ 170x180 ÷ 200cm; 1 reinforced bag for Mayo table with at least two layers 77 ÷ 80x145 ÷ 150cm; at least 4 napkins; 2 adhesive tapes 9 ÷ 10x48 ÷ 50cm; elastic bust 12cmx6m; 1 sock 30 ÷ 32x115 ÷ 125cm. The sterile packaging is easily opened by hand - with a free glued edge. The kit is packed in one factory sterile package. Packaging must contain at least 2 adhesive stickers with sterility and production control data for registration. The product has three levels of packaging. Tolerance ± 5%,,,140.0,140,,,,EUR,4684.05,,0.0,OneMed,
28,0004,382454,1,2.0,drape-surgical,Set of duvets made of at least three layers: upper layer of well-absorbing non-woven fabric  polyethylene  solid  impervious to liquid  lower - non-woven protective material. Covered surfaces are slippery  well positioned needles  threads and other fine med. measures. Coatings may have an additional absorbent layer  special openings for pipe attachment. Composition: 1 cover 220 ÷ 250x300 ÷ 320cm with elastic hole 6 ÷ 8cm  raised protection not less than 50x90cm; 2 instrumented table tops  at least two layers 140 ÷ 170x180 ÷ 200cm; 1 reinforced bag for Mayo table with at least two layers 77 ÷ 80x145 ÷ 150cm; not less than 4 napkins  2 adhesive tapes 9 ÷ 10x48 ÷ 50cm. Can be a sock 20 ÷ 25x70 ÷ 80cm. The sterile packaging is easily opened by hand - with a free glued edge. The kit is packed in one factory sterile package. Packaging must contain at least 2 adhesive stickers with sterility and production control data for registration. The product has three levels of packaging. Tolerance ± 5%,,,100.0,100,,,,EUR,4684.05,,0.0,OneMed,
29,0004,382454,1,3.0,drape-surgical,The cover is made of at least three layers: the upper layer is a good absorbent non-woven material  polyethylene  solid  impervious to liquid  lower non-woven protective material. Covered surfaces are slippery  well positioned needles  threads and other fine med. measures. The cover may have special holes for fixing tubes. Covered 220 ÷ 250x300 ÷ 320cm with round elastic hole 6 ÷ 10. The raised part of the protection is at least 50x90cm. The sterile packaging is easily opened by hand - with a free glued edge. The kit is packed in one factory sterile package. Packaging must contain at least 2 adhesive stickers with sterility and production control data for registration. The product has three levels of packaging. Tolerance ± 5%,,,250.0,250,,,,EUR,4684.05,,0.0,OneMed,
30,0004,382454,1,4.0,drape-surgical,The cover is made of at least three layers: the upper layer is a good absorbent non-woven material  polyethylene  solid  impervious to liquid  lower non-woven protective material. Covered surfaces are slippery  well positioned needles  threads and other fine med. measures. The cover may have special holes for fixing tubes. Covered 200 ÷ 250x250 ÷ 300cm with U-shaped slot with adhesive edges 18 ÷ 22x95 ÷ 105cm. The protector is at least 70x120cm. The sterile packaging is easily opened by hand - with a free glued edge. The kit is packed in one factory sterile package. Packaging must contain at least 2 adhesive stickers with sterility and production control data for registration. The product has three levels of packaging. Tolerance ± 5%,,,180.0,180,,,,EUR,4684.05,,0.0,OneMed,
31,0004,382454,6,2.0,drape-surgical,Material disposable  sterile. Made of 2 layers: the upper layer absorbs fluids well and is made of non-woven fabric  the bottom is made of polyethylene  impervious to liquids. With a hole in the center of the blanket. The edges of the opening are sticky. The surface is not slippery  well positioned needles  threads and other fine med. measures. Size 75x90 ÷ 100cm. The hole size is 6x8cm. The product has three levels of packaging. The sterile packaging is easily opened by hand - with a free glued edge. Tolerance ± 5%,,,500.0,500,,,,EUR,1266.30,,0.0,OneMed,
32,0004,382454,6,3.0,drape-surgical,Material disposable  sterile. Made of 2 layers: the upper layer absorbs fluids well and is made of non-woven fabric  the bottom is made of polyethylene  impervious to liquids. With a hole in the center of the blanket. The edges of the opening are sticky. The surface is not slippery  well positioned needles  threads and other fine med. measures. Covered size 150x180cm. The hole size is 5 ÷ 6x15cm. The kit is packed in one sterile sterile package with a sterility control system  i.e. a sticker with packaging sterility and manufacturing data. The product has three levels of packaging. The sterile packaging is easily opened by hand - with a free glued edge. Tolerance ± 5%,,,400.0,400,,,,EUR,1266.30,,0.0,OneMed,
33,0004,382454,6,4.0,drape-surgical,Material disposable  sterile. Made of sturdy  clear polyethylene  with a cone-shaped liquid collector with a sieve  and the lowest point of the valve that has accumulated in the liquid for discharge. The liquid collector retains its stable shape. Cover has special stickers for vertical mounting. Size 330x240cm  Inclusive film area 26-30x38-40cm. The sterile packaging is easily opened by hand - with a free glued edge. The product has three levels of packaging. Tolerance ± 5%,,,40.0,40,,,,EUR,1266.30,,0.0,OneMed,
34,0004,382454,4,,drape-equipment-table cover,Waterproof  non-sterile  90 ÷ 100x150 ÷ 160cm,,,5000.0,5000,,,,EUR,,,0.0,,not awarded
35,0004,382454,12,3.0,drape-equipment-table cover,Sterile. The material is disposable  made of two layers: the upper layer absorbs liquids well and is made of non-woven material  lower polyethylene  impervious to liquids. The surface is not slippery  well positioned needles  threads and other fine med. measures. The sterile packaging is easily opened by hand - with a free glued edge. The product has three levels of packaging. Tolerance ± 5%,,,400.0,400,,,,EUR,1260.00,,0.0,OneMed,
36,0004,382454,12,4.0,drape-equipment-mayo stand cover,Sterile. Type of bag made of durable micro-resistant material. The working surface has an absorbent layer. Slides  threads and other fine meds are clearly visible to the surface without slipping. measures. Size 77 ÷ 80x145 ÷ 150cm. The product has three levels of packaging. The sterile packaging is easily opened by hand - with a free glued edge. The product has three levels of packaging. Tolerance ± 5%,,,400.0,400,,,,EUR,1260.00,,0.0,OneMed,
37,0004,382454,3,,drape-equipment-fluoroscopy,Disposable  sterile. The edge of the bag (spherical) shape is embroidered with firm and elastic rubber. Transparent and transparent to keep track of hardware. The material is robust  fluid-resistant. Diameter 150 ÷ 190cm. Individually packed in sterile packaging.,,,60.0,60,,,,EUR,126.00,2.1,2.39,Molnlycke,
38,0004,382454,18,,drape-equipment-camera cover,Tube Cover 15x250cm (Optical),,,600.0,600,,,,EUR,289.80,0.48,0.55,OneMed,
39,0004,382454,14,,bag-instrument pouch,Material disposable  sterile. Contains no latex. Made of polyethylene. Diaterminal coagulation bag with two pockets 40x30 ÷ 35cm. The product has three levels of packaging. The sterile packaging is easily opened by hand - with a free glued edge. Tolerance ± 5%,,,300.0,300,,,,EUR,103.95,0.35,0.39,Molnlycke,
40,0005,507730-2018,8,,set-universal,"1. Material disposable  sterile  made by zonal system - the closest to the wound area is made of at least 2 layers: top layer - well absorbing nonwoven  lower - polyethylene  impermeable;
2. Surface slippery  well-positioned needles  threads and other small medical devices. Glue - Hypoallergenic;
3. The set consists of:
    • reinforced bag for Mayo table 80 x 150 cm (± 5 cm) - 1 pc;
    • Covered with adhesive edge 80 x 90 cm (± 10 cm)  absorbent part 15 x 50 ± 5 cm - 2 pcs;
    • cover with adhesive edge 150 x 250 cm (± 10 cm) - 1 pc;
    • cover with adhesive edge 180 x 180 cm (± 10 cm)  absorbent part 15 x 50 ± 5 cm - 1 pc;
    • Adhesive tape 9 x 49 cm (± 2 cm) - 1 pc;
    • bedside table 150 x 200 cm (± 10 cm) - 1 pc;
    • 3-level packaging with a sterility control system  i.e. at least 2 stickers with packaging sterility and production data;
    • complies with EN 13795 requirements.",,,4000.0,2000,,,8.25,EUR,,,0.0,OneMed,
41,0005,507730-2018,13,,set-TUR,"single-use  sterile material made of at least 2 layers: upper layer - well absorbing non-woven fabric  lower polyethylene  impermeable;
     • cover with integrated shoe legs 200/270 x 230 cm (± 30 cm) with liquid collection bag  opening for cut and opening for revision - 1 pc .;
blanket 150 x 200 cm (± 10 cm) - 1 piece;
     • 3-level packaging with a sterility control system  i.e. at least 2 stickers with packaging sterility and production data.",,,800.0,400,,,15.0,EUR,8349.60,10.44,11.87,Mediq ,
42,0005,507730-2018,25,,set-spinal,"• Cover for instrument table  150 x 190 cm (± 10 cm) - 1 piece;
    • Bathrobe * standard protection  L - 1 unit;
    • Mayo instrument table cover 79 x 145 cm (± 10 cm) - 2 pieces;
    • Instrument table cover  reinforced  150 x 190 cm (± 10 cm) - 1 pc;
    • Special protection gown *  XL - 1 piece;
    • Bathrobe * standard protection  XXL - 1 unit;
    • Non-woven scarves  green  40 x 40 cm (± 1 cm) - 5 pcs .;
    • 8-layer gauze gauze pads  10 x 21 cm (± 1 cm) - 60 pieces;
    • Pump extension  21Ch  at least 3.6m - 1 unit;
    • Pump nozzle type Yankauer  18Ch 25cm - 1pc;
    • Washing syringe 100 ml with beak - 1 unit;
    • Marker - 1 unit;
    • Dialysis of at least 320 cm - 1 unit;
    • Ribbon wound 1.2 x 10 cm - 2 pieces;
    • Sponge for Dialysis  5 x 5 cm (± 1 cm) - 1 pc
    • Adhesive tape  9 x 49 cm - 1 pc .;
    • Scale No.10 - 1 unit;
    • Covered with adhesive edge  75 x 100 cm (± 5 cm) - 1 pc;
    • U-shaped cover  7 x 102 cm  200 x 260 cm (± 2 cm) - 1 piece;
    • Covered with adhesive edge  175 x 175 cm (± 5 cm) - 1 pc.
    • The kit is packaged in one sterile sterile package with a sterility control system  i. not less than 2 stickers with packaging sterility and manufacturing data recorded in hospital documents. Three-tier packaging. Must be CE marked.",,,20.0,10,,,125.0,EUR,,,0.0,Molnlycke,
43,0005,507730-2018,23,,set-operations,"1. Material for single use sterile  made of at least 2 layers: top layer - well absorbing nonwoven  bottom - polyethylene  impermeable;
2. Surface slippery  well-positioned needles  threads and other fine med. measures. Glue - Hypoallergenic  not sticky to surgical gloves. Contains no latex;
3. Composition:
    • cover 150 x 200 cm (± 10 cm) for the instrument table - 1 piece;
    • blanket for Mayo table  reinforced 80 x 150 cm (± 10 cm) - 1 piece;
    • 150 x 250 cm (± 10 cm) cover with a lining edge  absorbing part 25 x 60 ± 5 cm - 1 pc .;
    • cover with a lining edge 170 x 180 cm (± 10 cm)  absorbent part 25 x 60 ± 5 cm - 1 pc .;
    • cover with a lining edge 90 x 80 cm (± 10 cm)  absorbent part 25 x 60 ± 5 cm - 2 pcs .;
    • Adhesive tape 9 x 49 cm (± 5 cm) - 1 pc.
4. 3-level packaging with a sterility control system i.e. at least 2 stickers with packaging sterility and production data.",,,900.0,450,,,8.33,EUR,,,0.0,OneMed,
44,0005,507730-2018,27,,set-obstetric,"• Waterproof sheet 130 x 80 cm (± 10 cm) - 1 piece ;.
    • Surgical gown XL for increased protection (reinforced area for chest and arm) length of at least 140 cm (± 5cm) or surgical gown XL and plastic apron (optional);
    • Water absorbing deck 90 x 60 cm (± 10 cm) - 1 piece;
    • Baby bed 80 x 70 cm (± 10 cm) - 1 piece;
    • Waterproof cover 85 x 75 cm (± 10 cm) - 1 piece;
    • Napkins 20 x 20 cm (± 5 cm) - 6pcs;
    • Surgical latex gloves without powder - 2 pairs;
    • Medical hat with beret type  breathable;
    • Bachils up to the lower leg with laces or rubber - 2 pcs. or a couple of other hoaxes (optional);
    • Face Mask - 1pc;
    • 4-layer gauze napkins 7.0 x 7.0 cm (± 2 cm) or special swabs (optional) - 5 pieces;
    • Sterile plastic cord clamp  well-pressed  length 5 cm (± 1 cm);
    • Centimeter for baby  at least 60 cm long.
    • 3-level packaging with a sterility control system  i.e. at least 2 stickers with packaging sterility and production data.",,,4000.0,2000,,,7.5,EUR,,,0.0,Barameda,
45,0005,507730-2018,10,,set-limb knee,"1. At least 2 - layers  upper - absorbent  second - polyethylene  free of latex  glue hypoallergenic  non-stick to surgical gloves  fluid-free  sterile;
2. The set consists of:
     • cover 150 x 200 cm (± 10 cm) for the instrumentation table - 1 piece;
     • Mayo table cover  reinforced 80 x 150 cm (± 10 cm) - 1 pc;
     • limb covering 230 x 310 cm (± 10 cm) with an elastic hole of 7 ± 1 cm in diameter - 1 pc .;
     • covered 160 x 190 cm (± 10 cm) - 1 piece;
     • covered with 80 x 80 cm (± 10 cm) slanting edge - 1 pc;
     • Adhesive tape 9 x 49 cm (± 2 cm) - 2 pcs .;
3. Pack of 3 levels with a sterility control system  i. at least 2 stickers with packaging sterility and production data.
4. meets the requirements of EN 13795.",,,800.0,400,,,12.5,EUR,,,0.0,OneMed,
46,0005,507730-2018,22,,set-knee,"1. Single-use  sterile  four-layer material: two upper layers of well-absorbing non-woven fabric  middle polyethylene  impermeable  bottom-protective non-woven material;
2. Basic composition of the kit:
     • Covered with non-woven fiber  high absorption  in the center - elastic material with opening 7-8 cm  with additional special holes for fixing the tubes 230 x 310 cm (± 10 cm) - 1 pc .;
     • Covered instrument table 150 x 190 cm (± 10 cm) - 2 pieces;
     • Bag for Mayo table 80 x 150 cm (± 10 cm) - 1 piece;
     • Sock 20 x 70 cm (± 5 cm) - 1 piece;
     • Adhesive tapes 9 x 49 cm (± 2 cm) - 2 pcs;
3. Pack of 3 levels with a sterility control system  i. at least 2 stickers with packaging sterility and production data.",,,50.0,25,,,17.0,EUR,,,0.0,OneMed,
47,0005,507730-2018,21,,set-hip joint prosthesis,"1. Single-use  sterile  four-layer material: two upper layers of well-absorbing non-woven fabric  middle polyethylene  impermeable  bottom-protective non-woven material;
2. The set consists of:
    • Covered with sliding U-shaped slit  220 x 260 cm (± 20 cm)  slit width - 15 cm (± 5 cm)  depth - 95 cm (± 7 cm) - 1pc.
    • covered with adhesive edges 90 x 70 cm (± 5 cm) - 2 pieces;
    • cover with adhesive edge 180 x 180 cm (± 10 cm) with tube holders - 1 pc .;
    • Adhesive edge 160 x 250 cm (± 15 cm) high absorption - 1 pc;
    • cover 150 x 200 cm (± 10 cm) for the instrument table - 1 piece;
    • bag for Mayo table  reinforced 80 x 150 cm (± 10 cm) - 1 pc;
    • Elastic boss 12 cm (± 3 cm) x 6 m (± 1 m) - 1 piece;
    • stockings 31 ± 2 cm x 120 cm (± 10 cm) - 1 piece;
    • Adhesive tapes 9 x 49 cm (± 2 cm) - 2 pieces;
3. Pack of 3 levels with a sterility control system  i. at least 2 stickers with packaging sterility and production data.",,,600.0,300,,,20.16,EUR,,,0.0,OneMed,
48,0005,507730-2018,24,,set-hip joint operation,"• Cover for instrument table  150 x 190 cm (± 10 cm) - 1 piece;
    • Bathrobe * standard protection  size L - 1 unit;
    • Mayo instrument table cover 79 x 145 cm (± 10 cm) - 1 piece;
    • Bathrobe * standard size XL size - 1 unit;
    • Sock  32 x 120 cm (± 1 cm) - 1 piece;
    • Surgical surgical gauze  30 x 41cm (± 5 cm) - 15 pcs .;
    • Adhesive tape  9 x 49 cm (± 5 cm) - 1 pc.
    • Covered with adhesive edge  75 x 90 cm (± 5 cm) - 2 pcs .;
    • Special protection gown *  size XXL - 1 piece;
    • Dialysis of at least 320 cm - 1 unit;
    • Pump Yankauer type  18 Ch 25 cm - 1 pc;
    • Marker - 1 unit;
    • Wash syringe with catheter tip 50 ml - 1 unit;
    • Patch for wound  0.6 x 10cm - 2 pcs .;
    • Sponge for diathermy cleaning  5 x 5 cm (± 1 cm) - 1 unit;
    • Scale No.10 - 1 unit;
    • Pump extension  21Ch  at least 3.6m - 1 unit;
    • Covered with adhesive edge  175 x 175 cm (± 5 cm) - 1 pc;
    • Covered U-shaped 200 x 260 cm (± 10 cm) - 1 pc;
    • Covered with adhesive edge  150 x 240 cm (± 10 cm) - 1 pc.
    • The kit is packaged in one sterile sterile package with a sterility control system  i. not less than 2 stickers with packaging sterility and manufacturing data recorded in hospital documents. Three-tier packaging. Must be CE marked.",,,50.0,25,,,120.0,EUR,,,0.0,Molnlycke,
49,0005,507730-2018,9,,set-eye surgery ,"• sterile;
     • Covered 150 x 180 cm (± 20 cm) with hole 5 x 7 cm (± 1 cm)  with liquid collection bags on both sides - 1 pc;
     • adhesive incisive film 11 x 14 cm (± 3 cm) - 1 pc;
     • 3-level packaging with a sterility control system  i.e. at least 2 stickers with packaging sterility and production data;
     • complies with EN 13795 requirements.",,,4000.0,2000,,,6.25,EUR,,,0.0,OneMed,
